PROV,EDAD,SEXO,ECIV,NAC,EXREGNA,ANORE,NFORMA,OCUP,SITU,DUCON1,DCOM,PARCO1,HORASP,DISP,RZNDIS,DTANT,ITBU,OCUPA,OFEMP,SIDAC1
Álava,de 35 A 39 años,Varón,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,No,Por enfermedad o incapacidad propia,12,NA,Ocupaciones elementales (códigos CNO-2011). Trabajadores no cualificados (códigos CNO-1994),No estaba inscrito como demandante,NA
Álava,de 35 A 39 años,Varón,Soltero,Española,NA,NA,Educación superior,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Temporal,60,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 35 A 39 años,Mujer,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Temporal,7,Completa,40,NA,NA,NA,NA,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Trabajando
Álava,de 30 A 34 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,51,Parcial,20,Sí,NA,NA,De  6 meses a < 1 año,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Trabajando
Álava,de 30 A 34 años,Varón,Soltero,Española,NA,NA,Educación superior,Ocupaciones elementales (códigos CNO-2011). Trabajadores no cualificados (códigos CNO-1994),Asalariado sector privado,Temporal,5,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 50 A 54 años,Varón,Separado o divorciado,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,214,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 16 A 19 años,Mujer,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,Sí,NA,NA,De 1 año a < 1 año y medio  ,NA,No estaba inscrito como demandante,Buscando empleo
Álava,de 45 A 49 años,Mujer,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Empleados contables, administrativos y otros empleados de oficina (códigos CNO-2011). Empleados de tipo administrativo (códigos CNO-1994)",Asalariado sector privado,Indefinido,210,Parcial,20,NA,NA,NA,NA,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Trabajando
Álava,de 10 A 15 años,Varón,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 50 A 54 años,Varón,Casado,Española,NA,NA,Primera etapa de educación secundaria,"Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria (códigos CNO-2011). Artesanos y trabajadores cualificados de las industrias manufactureras, la construcción, y la minería, excepto operadores de instalaciones y maquinaria (códigos CNO-1994)  ",Asalariado sector privado,Indefinido,4,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Casado,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,318,NA,NA,No estaba inscrito como demandante,NA
Álava,de 20 A 24 años,Mujer,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 16 A 19 años,Varón,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 10 A 15 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 55 A 59 años,Varón,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales de apoyo (códigos CNO-2011),Trabajador independiente o empresario sin asalariados ,NA,196,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 55 A 59 años,Mujer,Casado,Española,NA,NA,Educación superior,"Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Asalariado sector público,Indefinido,466,Completa,37.5,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 16 A 19 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,Sí,NA,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 55 A 59 años,Varón,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector público,Indefinido,198,Completa,35,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 60 A 64 años,Mujer,Casado,Española,NA,NA,Primera etapa de educación secundaria,"Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Empresario con asalariados,NA,402,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 35 A 39 años,Mujer,Separado o divorciado,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector privado,Indefinido,102,Completa,35,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 0 A 4 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,65 o más años,Mujer,Viudo,Española,NA,NA,Educación primaria,NA,NA,NA,NA,NA,NA,No,Por otras razones,555,NA,NA,No estaba inscrito como demandante,NA
Álava,65 o más años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Por otras razones,171,NA,NA,No estaba inscrito como demandante,NA
Álava,de 55 A 59 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Empresario con asalariados,NA,105,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,65 o más años,Mujer,Viudo,Española,NA,NA,Educación primaria,NA,NA,NA,NA,NA,NA,NA,NA,756,NA,NA,NA,NA
Álava,65 o más años,Varón,Casado,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA
Álava,65 o más años,Mujer,Casado,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,NA,NA,191,NA,NA,NA,NA
Álava,de 50 A 54 años,Varón,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Miembro de una cooperativa  ,NA,363,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 50 A 54 años,Mujer,Casado,Española,NA,NA,Educación superior,"Empleados contables, administrativos y otros empleados de oficina (códigos CNO-2011). Empleados de tipo administrativo (códigos CNO-1994)",Asalariado sector público,Indefinido,198,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 16 A 19 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 25 A 29 años,Mujer,Separado o divorciado,Extranjera,África,6,Educación primaria,NA,NA,NA,NA,NA,NA,Sí,NA,71,NA,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,NA
Álava,de 0 A 4 años,Mujer,NA,Extranjera,África,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 40 A 44 años,Varón,Soltero,Extranjera,África,15,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,Sí,NA,72,4 años o más,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Buscando empleo
Álava,de 0 A 4 años,Mujer,NA,Extranjera,África,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 50 A 54 años,Mujer,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector público,Indefinido,352,Completa,35,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector privado,Indefinido,102,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,65 o más años,Mujer,Viudo,Española,NA,NA,Educación primaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 50 A 54 años,Varón,Separado o divorciado,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",NA,NA,NA,NA,NA,NA,Sí,NA,30,De 2 a < 4 años,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Buscando empleo
Álava,de 40 A 44 años,Varón,Casado,Española,NA,NA,Educación superior,Directores y gerentes (códigos CNO-2011). Dirección de las empresas y de las  Administraciones Públicas (códigos CNO-1994),Empresario con asalariados,NA,121,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Buscando empleo
Álava,de 40 A 44 años,Mujer,Casado,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,108,NA,NA,No estaba inscrito como demandante,NA
Álava,de 5 A 9 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 0 A 4 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 25 A 29 años,Varón,Soltero,Extranjera,África,9,Educación primaria incompleta,NA,NA,NA,NA,NA,NA,Sí,NA,8,De  6 meses a < 1 año,Ocupaciones elementales (códigos CNO-2011). Trabajadores no cualificados (códigos CNO-1994),Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Buscando empleo
Álava,de 25 A 29 años,Varón,Soltero,Extranjera,África,6,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,Sí,NA,NA,De  6 meses a < 1 año,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Buscando empleo
Álava,de 60 A 64 años,Varón,Casado,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general",Técnicos y Profesionales de apoyo (códigos CNO-2011),Asalariado sector privado,Indefinido,508,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 60 A 64 años,Mujer,Casado,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Asalariado sector privado,Indefinido,429,Completa,35,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 20 A 24 años,Varón,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 60 A 64 años,Varón,Soltero,Española,NA,NA,Educación superior,Técnicos y Profesionales científicos e intelectuales (códigos CNO-2011),Trabajador independiente o empresario sin asalariados ,NA,240,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
